               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.030346,            0.023587,                   0,             0.77625,             0.67576,              0.7603,             0.45043,            0.037138,             0.01953,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028561,            0.022637,                   0,             0.77399,             0.71212,             0.76552,             0.44312,             0.03745,            0.019281,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030543,            0.022606,                   0,             0.79091,             0.70303,             0.77058,             0.46455,            0.036512,            0.018647,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028213,            0.021461,                   0,             0.82255,             0.67879,             0.77434,             0.46077,            0.036972,            0.018516,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028386,            0.021616,                   0,              0.7102,             0.70303,             0.72773,             0.43809,            0.036777,            0.019358,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028749,             0.02145,                   0,             0.79706,             0.65758,             0.74195,             0.44616,            0.036208,            0.019517,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028193,            0.020406,                   0,             0.80893,             0.69394,             0.76385,             0.45707,            0.036514,            0.019382,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027359,            0.020483,                   0,             0.80644,             0.64388,             0.74877,             0.44107,            0.036998,            0.019829,                   0,            0.005545,            0.005545,            0.005545
                  47,              0.0279,            0.020537,                   0,             0.79164,             0.68182,             0.74929,             0.45212,            0.037045,            0.019679,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027943,            0.020237,                   0,             0.82333,             0.66364,             0.76347,             0.47445,            0.036333,            0.019422,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027988,            0.021534,                   0,              0.7723,             0.67835,             0.75124,             0.45646,            0.037362,            0.019472,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.027588,             0.01999,                   0,             0.81522,             0.68184,             0.74346,             0.44867,            0.037268,            0.019777,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026744,            0.020062,                   0,             0.82851,             0.66061,              0.7485,             0.45066,            0.037179,            0.019623,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027699,            0.021175,                   0,             0.75317,             0.70303,             0.75603,              0.4647,            0.036287,            0.019439,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027063,            0.021296,                   0,             0.81343,             0.65152,             0.74611,             0.45949,            0.036737,            0.019632,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.026776,            0.018926,                   0,             0.75072,             0.72096,             0.76547,             0.47134,              0.0369,            0.019853,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02604,            0.019403,                   0,             0.82688,             0.69091,             0.77454,             0.47585,            0.035827,            0.019736,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.026286,            0.018848,                   0,              0.7157,             0.72471,             0.75097,             0.46502,            0.036173,            0.020119,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025892,            0.020277,                   0,             0.78966,             0.70303,              0.7745,             0.47578,            0.035792,            0.019062,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025725,             0.01962,                   0,             0.79013,             0.73636,             0.78141,             0.48075,            0.036548,            0.019076,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025503,            0.019855,                   0,             0.76716,             0.70889,             0.76753,             0.46879,            0.036531,            0.019131,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.025827,            0.018904,                   0,             0.78969,              0.7282,             0.78538,             0.47304,            0.037138,             0.01908,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025786,            0.019067,                   0,             0.83888,             0.67576,             0.76875,             0.47835,            0.035837,            0.019667,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.025382,            0.019314,                   0,             0.77248,             0.72022,              0.7639,              0.4654,            0.036306,            0.019967,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024283,            0.017955,                   0,             0.77764,             0.71818,             0.75388,             0.46241,             0.03663,            0.020513,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024782,             0.01862,                   0,             0.83977,             0.65116,              0.7528,             0.46497,            0.036473,            0.020274,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024788,            0.020359,                   0,             0.82387,             0.67273,             0.76888,              0.4738,            0.036534,            0.019734,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024593,            0.019028,                   0,             0.81811,             0.64059,             0.75312,             0.46684,            0.035969,            0.020193,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024695,            0.019379,                   0,             0.81624,             0.68648,               0.775,             0.47921,            0.036011,            0.019913,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024738,            0.018798,                   0,             0.78881,             0.70606,             0.76369,             0.46471,            0.036944,            0.020223,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024419,            0.019436,                   0,              0.8108,             0.67576,              0.7565,             0.46338,            0.036174,            0.020522,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.024792,            0.018201,                   0,             0.83847,             0.69213,             0.77227,             0.47525,            0.035752,            0.020558,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.024379,            0.018257,                   0,             0.82571,              0.6891,             0.77502,             0.47537,            0.035963,            0.020506,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024341,            0.019308,                   0,              0.8185,             0.71212,             0.77676,             0.47788,            0.035941,            0.020259,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023494,            0.018482,                   0,              0.8259,             0.69001,             0.77712,             0.48298,            0.035726,            0.020575,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023361,            0.018993,                   0,             0.80446,             0.68568,             0.75703,             0.46626,            0.036547,            0.021587,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023356,            0.018443,                   0,             0.78738,             0.68788,             0.75323,               0.474,            0.036087,            0.020892,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.024365,            0.017905,                   0,             0.81366,             0.68182,             0.76908,             0.46945,            0.036106,            0.020249,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023005,              0.0177,                   0,             0.79245,             0.69421,             0.76519,             0.48058,            0.036411,            0.020586,                   0,            0.002476,            0.002476,            0.002476
