                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.97738,                0.68694,                 1.1172,                 0.4698,                0.30909,                0.30696,                0.20831,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     38,                0.98625,                0.70246,                 1.1497,                0.60331,                0.30606,                0.35729,                0.24843,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     39,                0.93091,                0.65004,                 1.0716,                0.59872,                0.31818,                0.33176,                0.22575,                    nan,                    nan,                    nan,              0.0006337,              0.0006337,              0.0006337
                     40,                0.94589,                0.66491,                 1.0883,                0.63968,                0.30303,                0.36833,                0.24948,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     41,                0.91045,                0.62854,                 1.0675,                0.62334,                0.30909,                0.37101,                0.24902,                    nan,                    nan,                    nan,              0.0006139,              0.0006139,              0.0006139
                     42,                0.93401,                0.63065,                 1.0712,                0.51579,                 0.3303,                0.35818,                0.24007,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     43,                0.91164,                0.64392,                 1.0647,                0.56812,                0.29394,                 0.3393,                0.22708,                    nan,                    nan,                    nan,              0.0005941,              0.0005941,              0.0005941
                     44,                0.92778,                 0.6541,                 1.0666,                0.49464,                0.30909,                0.34434,                0.22316,                    nan,                    nan,                    nan,              0.0005842,              0.0005842,              0.0005842
                     45,                0.92845,                0.64461,                 1.0669,                0.59446,                0.32121,                0.38664,                0.25149,                    nan,                    nan,                    nan,              0.0005743,              0.0005743,              0.0005743
                     46,                0.91228,                0.63107,                 1.0583,                0.80139,                0.27879,                0.37428,                0.24897,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     47,                0.88982,                0.60791,                 1.0624,                 0.5695,                0.30606,                 0.3535,                0.24643,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     48,                0.90095,                0.63799,                 1.0657,                 0.6292,                0.29697,                0.36033,                0.24103,                    nan,                    nan,                    nan,              0.0005446,              0.0005446,              0.0005446
                     49,                0.89093,                0.60663,                 1.0643,                0.64204,                0.29091,                0.37594,                0.25529,                    nan,                    nan,                    nan,              0.0005347,              0.0005347,              0.0005347
                     50,                0.89994,                0.64926,                  1.066,                0.62072,                0.29261,                0.33813,                0.23229,                    nan,                    nan,                    nan,              0.0005248,              0.0005248,              0.0005248
                     51,                0.89808,                0.62554,                 1.0573,                0.58961,                0.32727,                0.37786,                 0.2599,                    nan,                    nan,                    nan,              0.0005149,              0.0005149,              0.0005149
                     52,                0.89526,                0.60349,                  1.055,                0.55512,                0.30909,                0.35052,                0.24044,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     53,                0.87294,                0.58715,                 1.0473,                0.57791,                 0.3303,                0.36633,                0.24721,                    nan,                    nan,                    nan,              0.0004951,              0.0004951,              0.0004951
                     54,                0.86305,                0.59318,                 1.0538,                0.64701,                0.31212,                0.39231,                0.27401,                    nan,                    nan,                    nan,              0.0004852,              0.0004852,              0.0004852
                     55,                0.85003,                0.60365,                 1.0514,                0.59926,                0.29455,                0.35439,                0.24204,                    nan,                    nan,                    nan,              0.0004753,              0.0004753,              0.0004753
                     56,                0.86413,                0.58204,                 1.0525,                0.53629,                0.31212,                0.37243,                0.26202,                    nan,                    nan,                    nan,              0.0004654,              0.0004654,              0.0004654
                     57,                0.83825,                 0.5557,                 1.0357,                0.54574,                0.29697,                0.34826,                0.23818,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     58,                0.83036,                0.72496,                 1.0178,                 0.5609,                0.31818,                0.35751,                0.24609,                    nan,                    nan,                    nan,              0.0004456,              0.0004456,              0.0004456
                     59,                0.84837,                0.58264,                 1.0357,                0.57447,                0.31212,                0.35966,                0.24782,                    nan,                    nan,                    nan,              0.0004357,              0.0004357,              0.0004357
                     60,                0.85071,                0.58787,                 1.0601,                0.56068,                0.31515,                0.38486,                  0.269,                    nan,                    nan,                    nan,              0.0004258,              0.0004258,              0.0004258
                     61,                0.80534,                0.54397,                 1.0193,                0.57014,                0.31515,                0.36677,                0.25663,                    nan,                    nan,                    nan,              0.0004159,              0.0004159,              0.0004159
                     62,                0.82174,                0.54943,                 1.0107,                0.64296,                0.31515,                0.35714,                0.25056,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     63,                0.80612,                0.56705,                 1.0169,                 0.5647,                0.31212,                0.35469,                0.24046,                    nan,                    nan,                    nan,              0.0003961,              0.0003961,              0.0003961
                     64,                0.82243,                0.54757,                 1.0402,                0.56015,                0.32727,                0.37305,                0.25784,                    nan,                    nan,                    nan,              0.0003862,              0.0003862,              0.0003862
                     65,                0.79102,                0.52177,                 1.0006,                 0.6091,                0.30606,                0.37707,                0.26544,                    nan,                    nan,                    nan,              0.0003763,              0.0003763,              0.0003763
                     66,                0.82655,                0.56285,                 1.0269,                0.50842,                0.30303,                0.34615,                0.24454,                    nan,                    nan,                    nan,              0.0003664,              0.0003664,              0.0003664
                     67,                0.79295,                0.53232,                 1.0211,                0.64361,                0.26061,                0.36737,                0.26075,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
                     68,                0.77485,                0.57471,                 1.0021,                0.60651,                0.28788,                0.37504,                 0.2614,                    nan,                    nan,                    nan,              0.0003466,              0.0003466,              0.0003466
                     69,                0.78611,                0.53835,                 1.0169,                0.55988,                0.32121,                0.38031,                0.25828,                    nan,                    nan,                    nan,              0.0003367,              0.0003367,              0.0003367
                     70,                0.78525,                0.54311,                 1.0144,                0.67422,                0.29697,                0.38382,                0.25929,                    nan,                    nan,                    nan,              0.0003268,              0.0003268,              0.0003268
                     71,                 0.7687,                0.50804,                 1.0004,                0.57668,                 0.3303,                0.39866,                0.27353,                    nan,                    nan,                    nan,              0.0003169,              0.0003169,              0.0003169
                     72,                0.77425,                0.52083,                 1.0117,                0.48861,                0.35034,                0.39829,                0.27916,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     73,                0.77306,                0.52739,                0.99663,                0.63648,                0.30909,                0.40664,                0.28124,                    nan,                    nan,                    nan,              0.0002971,              0.0002971,              0.0002971
                     74,                0.78596,                0.51319,                 1.0048,                0.57271,                0.32727,                0.40502,                0.27761,                    nan,                    nan,                    nan,              0.0002872,              0.0002872,              0.0002872
                     75,                0.76586,                0.50173,                 1.0034,                0.57407,                0.30606,                0.38334,                0.26619,                    nan,                    nan,                    nan,              0.0002773,              0.0002773,              0.0002773
                     76,                 0.7264,                0.49826,                0.99035,                0.63435,                0.28915,                0.38381,                0.27164,                    nan,                    nan,                    nan,              0.0002674,              0.0002674,              0.0002674
                     77,                0.73025,                0.48635,                0.98386,                 0.5546,                0.31818,                0.37419,                0.26594,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     78,                0.77815,                0.60719,                 1.0105,                0.55413,                0.31515,                0.37088,                0.26023,                    nan,                    nan,                    nan,              0.0002476,              0.0002476,              0.0002476
                     79,                0.77007,                0.49667,                 1.0126,                0.59516,                0.29848,                0.38383,                0.27708,                    nan,                    nan,                    nan,              0.0002377,              0.0002377,              0.0002377
                     80,                0.74055,                0.48242,                0.99133,                0.63315,                0.29697,                0.39005,                0.27577,                    nan,                    nan,                    nan,              0.0002278,              0.0002278,              0.0002278
                     81,                 0.7595,                 0.4913,                 1.0134,                0.61225,                0.30606,                0.37312,                0.27115,                    nan,                    nan,                    nan,              0.0002179,              0.0002179,              0.0002179
                     82,                0.73396,                0.48214,                0.98743,                0.59128,                0.30303,                 0.3825,                 0.2773,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     83,                0.72301,                0.45982,                0.98272,                0.59994,                    0.3,                0.37838,                0.27615,                    nan,                    nan,                    nan,              0.0001981,              0.0001981,              0.0001981
                     84,                0.73161,                0.46379,                0.99284,                0.53025,                    0.3,                0.37659,                0.27302,                    nan,                    nan,                    nan,              0.0001882,              0.0001882,              0.0001882
                     85,                 0.7158,                0.46345,                0.98443,                0.51886,                0.30909,                0.37055,                0.27174,                    nan,                    nan,                    nan,              0.0001783,              0.0001783,              0.0001783
                     86,                0.71365,                0.46833,                0.99123,                 0.5328,                0.31448,                0.38343,                0.27741,                    nan,                    nan,                    nan,              0.0001684,              0.0001684,              0.0001684
                     87,                0.69472,                 0.4489,                0.97799,                0.54586,                0.31689,                0.37297,                0.26607,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     88,                0.70805,                0.45639,                0.97482,                0.62969,                0.31515,                0.39794,                0.27795,                    nan,                    nan,                    nan,              0.0001486,              0.0001486,              0.0001486
                     89,                0.71321,                0.45759,                0.98201,                0.57935,                0.32121,                0.39857,                0.28356,                    nan,                    nan,                    nan,              0.0001387,              0.0001387,              0.0001387
                     90,                0.68459,                0.44325,                0.99278,                 0.6023,                0.32727,                 0.4048,                0.29297,                    nan,                    nan,                    nan,              0.0001288,              0.0001288,              0.0001288
