               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031148,           0.0099881,                   0,             0.88384,             0.86538,             0.91511,              0.4537,            0.027631,           0.0036173,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.030273,           0.0098655,                   0,             0.91324,             0.90385,             0.89768,             0.48224,            0.025507,           0.0038534,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030352,           0.0099535,                   0,             0.89953,             0.86094,             0.87891,             0.44688,            0.026281,           0.0040572,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030132,            0.010077,                   0,             0.93597,             0.90385,             0.89033,             0.44796,            0.024834,           0.0038099,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029425,           0.0094693,                   0,             0.86869,             0.90385,             0.89291,             0.44773,            0.026315,           0.0036876,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030158,           0.0096572,                   0,              0.9378,             0.92308,              0.9104,              0.4653,            0.026162,           0.0036429,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029889,           0.0094635,                   0,             0.95826,             0.88292,             0.90472,             0.44353,            0.025556,           0.0036442,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028811,           0.0091513,                   0,             0.92081,             0.84615,             0.89375,             0.44008,            0.024594,           0.0037246,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029484,           0.0099069,                   0,             0.95825,             0.88275,             0.89657,             0.45815,            0.025188,           0.0040097,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029065,           0.0089521,                   0,             0.97766,             0.84171,             0.91768,             0.44332,            0.025758,           0.0039575,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029296,           0.0095854,                   0,              0.9196,             0.87989,             0.90261,             0.42499,            0.026028,           0.0039769,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028477,            0.009755,                   0,             0.95732,             0.86276,             0.91138,             0.48113,            0.025989,           0.0038015,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028309,           0.0096781,                   0,             0.95825,             0.88276,             0.89989,             0.43611,            0.025778,           0.0037001,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028287,           0.0089778,                   0,              0.9198,              0.8823,             0.88632,             0.46864,            0.024113,            0.003809,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026698,           0.0092706,                   0,             0.93346,             0.86538,             0.91336,             0.47082,            0.023886,             0.00349,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027208,           0.0092752,                   0,             0.91271,             0.84615,             0.89489,             0.44106,            0.025305,            0.003603,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027027,           0.0088621,                   0,             0.87154,             0.86538,              0.8902,             0.43668,            0.025124,           0.0038192,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027624,           0.0091413,                   0,             0.92138,             0.90154,             0.92631,             0.47028,            0.026492,           0.0037932,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02655,           0.0087951,                   0,             0.92037,             0.88918,              0.9149,             0.46872,            0.023694,           0.0036436,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026326,           0.0089048,                   0,             0.92514,             0.86538,             0.91364,             0.47275,            0.024257,           0.0036059,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025888,           0.0086067,                   0,             0.93547,             0.83647,             0.85711,             0.41401,            0.026738,           0.0036997,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02576,           0.0091904,                   0,             0.91979,             0.90385,              0.8868,             0.47947,             0.02461,           0.0036886,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.02688,           0.0091607,                   0,             0.95648,             0.84531,             0.89868,             0.45312,            0.025704,           0.0033903,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025491,           0.0089427,                   0,             0.95592,             0.90385,             0.91425,             0.48616,            0.023283,            0.004139,                   0,             0.00406,             0.00406,             0.00406
